# eps(GeV),sophia_proton(microb),sophia_netron(microb)
1.000000000000000021e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.013918393116299173e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.028030507899538142e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.042339040644032523e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.056846725172182200e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.071556333356801956e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.086470675650721973e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.101592601623759340e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.116925000507165353e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.132470801745646787e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.148232975557073043e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.164214533499974280e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.180418529048935655e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.196848058178002355e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.213506259952202952e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.230396317127307668e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.247521456757932218e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.264884950814107109e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.282490116806427917e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.300340318419908152e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.318438966156650072e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.336789517987465280e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.355395480012562721e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.374260407131432625e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.393387903722053192e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.412781624329552572e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.432445274364454839e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.452382610810644403e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.472597442943183663e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.493093633056123866e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.513875097200442256e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.534945805932253458e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.556309785071432333e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.577971116470799559e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.599933938796005428e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.622202448316277176e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.644780899706166019e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.667673606858456614e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.690884943708389002e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.714419345069353659e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.738281307480216836e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.762475390064440969e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.787006215401159767e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.811878470408382832e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.837096907238485594e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.862666344186168083e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.888591666609050826e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.914877827861082016e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.941529850238937413e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.968552825941592352e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.995951918043249035e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.023732361479806119e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.051899464049058638e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.080458607424816656e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.109415248185143518e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.138774918854900037e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.168543228962803091e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.198725866113195038e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.229328597072733828e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.260357268872199496e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.291817809923647059e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.323716231153100109e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.356058627149014081e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.388851177326721878e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.422100147109089094e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.455811889123599503e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.489992844416101525e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.524649543681456790e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.559788608511300370e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.595416752659185020e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.631540783323323834e-02,0.000000000000000000e+00,0.000000000000000000e+00
